===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: path948                             | CenterX:  46.31 (range 34.1..58.6) | CenterY: 200.63 (range 116.6..284.6) | Source: original
ID: path974                             | CenterX:  63.62 (range 41.0..86.3) | CenterY: 202.31 (range 126.0..278.6) | Source: original
ID: path1379                            | CenterX: 136.35 (range -41.7..314.4) | CenterY: 203.45 (range 129.8..277.1) | Source: original
ID: path988                             | CenterX:  48.20 (range 39.9..56.5) | CenterY: 206.19 (range 131.6..280.8) | Source: original
ID: path978                             | CenterX:  63.92 (range 39.7..88.2) | CenterY: 206.58 (range 134.3..278.9) | Source: original
ID: path1100                            | CenterX:  58.99 (range 16.0..102.0) | CenterY: 206.87 (range 108.5..305.2) | Source: original
ID: path928                             | CenterX:  43.96 (range 36.7..51.3) | CenterY: 209.89 (range 137.8..282.0) | Source: original
ID: path1012                            | CenterX:  66.63 (range 41.0..92.3) | CenterY: 213.21 (range 144.2..282.2) | Source: original
ID: path1286                            | CenterX:  56.06 (range 42.4..69.7) | CenterY: 215.35 (range 150.3..280.4) | Source: original
ID: path1516                            | CenterX:  63.73 (range 43.2..84.3) | CenterY: 221.75 (range 162.9..280.6) | Source: original
ID: path1512                            | CenterX:  65.92 (range 42.0..89.9) | CenterY: 224.26 (range 169.1..279.4) | Source: original
ID: path1307                            | CenterX:  54.42 (range 37.9..70.9) | CenterY: 224.31 (range 151.8..296.9) | Source: original
ID: path908                             | CenterX:  51.66 (range 28.2..75.1) | CenterY: 225.22 (range 173.8..276.6) | Source: original
ID: path1122                            | CenterX:  36.38 (range 26.0..46.7) | CenterY: 226.73 (range 173.3..280.2) | Source: original
ID: path1381                            | CenterX: 156.10 (range -2.3..314.5) | CenterY: 227.07 (range 176.9..277.2) | Source: original
ID: path1337                            | CenterX:  55.94 (range 38.3..73.6) | CenterY: 227.15 (range 154.6..299.8) | Source: original
ID: path1508                            | CenterX:  68.62 (range 41.4..95.9) | CenterY: 228.01 (range 174.2..281.8) | Source: original
ID: path1779                            | CenterX:  36.89 (range 27.7..46.1) | CenterY: 230.40 (range 181.4..279.4) | Source: original
ID: path1504                            | CenterX:  70.32 (range 42.2..98.5) | CenterY: 230.57 (range 176.6..284.5) | Source: original
ID: path1200                            | CenterX:  41.88 (range 34.9..48.9) | CenterY: 230.73 (range 181.8..279.7) | Source: original
ID: path1047                            | CenterX:  33.64 (range 18.6..48.6) | CenterY: 231.60 (range 183.1..280.2) | Source: original
ID: path1228                            | CenterX:  38.64 (range 30.7..46.6) | CenterY: 231.73 (range 182.6..280.9) | Source: original
ID: path1411                            | CenterX:  57.40 (range 40.8..74.0) | CenterY: 232.48 (range 179.1..285.8) | Source: original
ID: path979                             | CenterX:  30.34 (range 14.8..45.9) | CenterY: 233.42 (range 188.8..278.1) | Source: original
ID: path1115                            | CenterX:  31.53 (range 15.9..47.1) | CenterY: 233.70 (range 188.7..278.7) | Source: original
ID: path1017                            | CenterX:  31.33 (range 14.7..48.0) | CenterY: 234.35 (range 189.2..279.5) | Source: original
ID: path1101                            | CenterX:  33.99 (range 17.6..50.4) | CenterY: 234.44 (range 187.2..281.6) | Source: original
ID: path1157                            | CenterX:  34.99 (range 24.3..45.7) | CenterY: 235.40 (range 190.5..280.3) | Source: original
ID: path1799                            | CenterX:  30.17 (range 12.4..48.0) | CenterY: 235.47 (range 192.6..278.3) | Source: original
